Genre_ID,ISBN
1,978-0451457998
1,978-0547928227
2,978-1984801258
2,978-0316228534
3,978-0062498533
3,978-0140186834
3,978-0743273565
4,978-0143127550
5,978-1451673319
6,978-0812988406
2,978-0553803716
3,978-0062315007
7,978-0525509288
8,978-1250301697
1,978-0451457999
3,978-0385514240
2,978-0812988407
10,978-0312282990
2,978-0062325146
11,978-1982104156
12,978-0140449198
3,978-0061120084
13,978-0553382836
2,978-0062671158
14,978-1400079988
15,978-0141439563
3,978-0316769488
5,978-1451673318
3,978-1781398210
