Loan_ID,checkout_date,Due_date,Return_date,Staff_ID,Member_ID,ISBN
1,2024-04-01,2024-05-01,2024-04-20,1,1,978-0451457998
2,2024-04-02,2024-05-02,2024-04-21,2,2,978-0547928227
3,2024-04-03,2024-05-03,2024-04-22,3,3,978-1984801258
4,2024-04-04,2024-05-04,2024-04-23,4,4,978-0316228534
5,2024-04-05,2024-05-05,2024-04-23,5,5,978-0062498533
6,2024-04-06,2024-05-06,2024-04-25,6,6,978-0140186834
7,2024-04-07,2024-05-07,2024-04-23,7,7,978-0743273565
8,2024-04-08,2024-05-08,2024-04-23,8,8,978-0143127550
9,2024-04-09,2024-05-09,2024-04-23,9,9,978-1451673319
10,2024-04-10,2024-05-10,2024-04-29,10,10,978-0812988406
12,2024-04-20,2024-05-20,NULL,2,26,978-0061120084
13,2024-04-20,2024-05-20,NULL,2,24,978-0553382836
14,2024-04-20,2024-05-20,NULL,2,13,978-0062671158
15,2024-04-20,2024-05-20,NULL,2,15,978-1400079988
11,2024-04-20,2024-05-20,2024-04-27,2,26,978-0062325146





