Card_number,Issue_date,Expiry_date,Member_ID
1001,2024-04-01,2025-04-01,1
1002,2024-04-02,2025-04-02,2
1003,2024-04-03,2025-04-03,3
1004,2024-04-04,2025-04-04,4
1005,2024-04-05,2025-04-05,5
1006,2024-04-06,2025-04-06,6
1007,2024-04-07,2025-04-07,7
1008,2024-04-08,2025-04-08,8
1009,2024-04-09,2025-04-09,9
1010,2024-04-10,2025-04-10,10
1011,2024-04-11,2025-04-11,11
1012,2024-04-12,2025-04-12,12
1013,2024-04-13,2025-04-13,13
1014,2024-04-14,2025-04-14,14
1015,2024-04-15,2025-04-15,15
1016,2024-04-16,2025-04-16,16
1017,2024-04-17,2025-04-17,17
1018,2024-04-18,2025-04-18,18
1019,2024-04-19,2025-04-19,19
1020,2024-04-20,2025-04-20,20
1021,2024-04-21,2025-04-21,21
1022,2024-04-22,2025-04-22,22
1023,2024-04-23,2025-04-23,23
1024,2024-04-24,2025-04-24,24
1025,2024-04-25,2025-04-25,25
1026,2024-04-26,2025-04-26,26
1027,2024-04-27,2025-04-27,27
1028,2024-04-28,2025-04-28,28
1029,2024-04-29,2025-04-29,29
1030,2024-04-30,2025-04-30,30
