Visit_ID,Member_ID,Enter_time,Exit_time
1,1,2024-04-26 09:00:00,2024-04-26 11:30:00
2,6,2024-04-26 10:15:00,2024-04-26 12:45:00
3,22,2024-04-26 11:30:00,2024-04-26 14:00:00
4,4,2024-04-26 12:45:00,2024-04-26 15:30:00
5,5,2024-04-26 13:30:00,2024-04-26 16:45:00
6,11,2024-04-26 14:45:00,2024-04-26 18:00:00
7,17,2024-04-26 15:30:00,2024-04-26 19:15:00
8,18,2024-04-26 16:45:00,2024-04-26 20:30:00
9,19,2024-04-26 17:30:00,2024-04-26 21:45:00
10,10,2024-04-26 18:45:00,2024-04-26 22:00:00
11,11,2024-04-27 09:30:00,2024-04-27 12:00:00
12,9,2024-04-27 10:45:00,2024-04-27 13:30:00
13,8,2024-04-27 11:30:00,2024-04-27 15:00:00
14,7,2024-04-27 12:45:00,2024-04-27 16:15:00
15,16,2024-04-27 13:30:00,2024-04-27 17:45:00
16,17,2024-04-27 14:45:00,2024-04-27 19:00:00
17,25,2024-04-27 15:30:00,2024-04-27 20:15:00
18,18,2024-04-27 16:45:00,2024-04-27 21:30:00
19,22,2024-04-27 17:30:00,2024-04-27 22:45:00
20,1,2024-04-27 18:45:00,2024-04-28 00:00:00
21,5,2024-04-28 09:15:00,2024-04-28 11:30:00
22,2,2024-04-28 10:30:00,2024-04-28 13:45:00
23,23,2024-04-28 11:45:00,2024-04-28 15:00:00
24,4,2024-04-28 13:00:00,2024-04-28 16:15:00
25,25,2024-04-28 14:15:00,2024-04-28 17:30:00
26,6,2024-04-28 15:30:00,2024-04-28 18:45:00
27,27,2024-04-28 16:45:00,2024-04-28 20:00:00
28,28,2024-04-28 18:00:00,2024-04-28 21:15:00
29,9,2024-04-28 19:15:00,2024-04-28 22:30:00
30,3,2024-04-28 20:30:00,2024-04-28 23:45:00
